,Unnamed: 0,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop,Region,Cases,Deaths,Confirmed cases in the last 14 days,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,date
36,36,Ecuador,7603,0,369,0,696,6538,129,431.0,21.0,25347,1437,America,7603,355,5301,93,133,107,97,96,111,04-16-2020
37,37,Egypt,2350,0,178,0,589,1583,0,23.0,2.0,25000,244,Africa,2350,178,1694,115,141,110,115,43,63,04-16-2020
38,38,Eritrea,35,0,0,0,0,35,0,10.0,0.0,0,0,Africa,35,0,20,169,167,176,187,148,158,04-16-2020
39,39,Estonia,1400,27,35,4,117,1248,10,1055.0,26.0,33967,25606,Europe,1373,31,628,69,43,48,60,115,77,04-16-2020
40,40,Ethiopia,85,3,3,0,15,67,0,0.7,0.03,4988,43,Africa,82,3,57,182,176,186,189,169,180,04-16-2020
41,41,Fiji,16,0,0,0,0,16,0,18.0,0.0,0,0,Oceania,16,0,11,106,71,78,87,124,96,04-16-2020
42,42,Finland,3237,76,72,8,300,2865,75,584.0,13.0,48828,8813,Europe,3161,64,1777,20,27,22,18,44,31,04-16-2020
43,43,France,143303,0,15729,0,28805,98769,6730,2195.0,241.0,333807,5114,Europe,103573,15729,51445,3,12,6,4,4,1,04-16-2020
44,44,Gabon,80,23,1,0,4,75,0,36.0,0.4,0,0,Africa,75,1,59,144,136,141,95,143,139,04-16-2020
45,45,Gambia,9,0,1,0,2,6,0,4.0,0.4,281,116,Africa,9,1,5,143,155,153,158,109,146,04-16-2020
46,46,Georgia,306,6,3,0,69,234,6,77.0,0.8,5027,1260,Europe,300,3,190,44,61,76,125,84,114,04-16-2020
47,47,Germany,132553,343,3528,33,72600,56425,4288,1582.0,42.0,1317887,15730,Europe,127584,3254,60218,22,20,14,3,41,25,04-16-2020
48,48,Ghana,636,0,8,0,17,611,2,20.0,0.3,44421,1430,Africa,636,8,484,149,149,139,166,158,135,04-16-2020
49,49,Greece,2170,0,101,0,269,1800,76,208.0,10.0,48798,4682,Europe,2170,101,856,7,6,23,30,11,14,04-16-2020
